pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
45,-9.987159375769005,-0.5066039903013696,0.23684210526315788,1925064.493840624,5599139.349396009,aw,8.651072455263158,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
46,-2.6043929464864704,-9.654902246024633,0.23684210526315788,1925071.8766070534,5599130.201097754,aw,8.651072455263158,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.8228733940390279,0.020109775383025406,0.1876607053447515,0
47,8.37755601477988,-5.460453755799555,0.23684210526315788,1925082.8585560147,5599134.3955462435,aw,8.651072455263158,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.20015432942023087,0.4395546243526042,0.2858556014718488,0
48,7.782007306276553,6.280156230943491,0.23684210526315788,1925082.2630073063,5599146.13615623,aw,8.651072455263158,"(0, np.int64(68), np.int64(79))",1.0,69.0,80.0,0.9285189940510453,0.6136156230233609,0.22630073062609882,0
49,-3.5680109988009563,9.341803761182065,0.23684210526315788,1925070.912989001,5599149.197803761,aw,8.651072455263158,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.33682419452347084,0.9197803760878742,0.09129890010226518,0
50,3.0753740923358186,9.515359908704959,0.2631578947368421,1925077.5563740924,5599149.371359908,aw,8.677388244736843,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.3530583369202377,0.9371359908021987,0.7556374092353508,0
51,-8.099302187475311,5.865262489945154,0.2631578947368421,1925066.3816978124,5599145.721262489,aw,8.677388244736843,"(0, np.int64(68), np.int64(77))",1.0,69.0,78.0,0.2837822135308551,0.5721262489445508,0.6381697812350466,0
52,-8.081018129351934,-5.8904283369790145,0.2631578947368421,1925066.3999818705,5599133.965571662,aw,8.677388244736843,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
53,3.1049583198317166,-9.505747410493706,0.2631578947368421,1925077.5859583197,5599130.350252589,aw,8.677388244736843,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.8405860546351256,0.03502525892108679,0.7585958319716155,0
54,9.999987904659704,0.015553348822600259,0.2631578947368421,1925084.4809879046,5599139.871553348,aw,8.677388244736843,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.21597273433429348,0.9871553348377347,0.4480987904593349,0
55,-0.3672218217836559,-9.99325513201809,0.2894736842105263,1925074.113778178,5599129.862744868,aw,8.703704034210526,"(0, np.int64(70), np.int64(78))",1.0,71.0,79.0,0.40150380286837295,0.9862744867801666,0.4113778178114444,0
56,9.390672628669313,-3.4373343714513727,0.2894736842105263,1925083.8716726287,5599136.418665628,aw,8.703704034210526,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.231791139248355,0.641866562794894,0.3871672628680244,0
57,6.170976683524612,7.868865659762885,0.2894736842105263,1925080.6519766834,5599147.724865659,aw,8.703704034210526,"(0, np.int64(68), np.int64(79))",1.0,69.0,80.0,0.9645870441533395,0.772486565914005,0.06519766834098846,0
58,-5.576799294467998,8.300560802091702,0.2894736842105263,1925068.9042007055,5599148.156560802,aw,8.703704034210526,"(0, np.int64(68), np.int64(77))",1.0,69.0,78.0,0.2998062632142845,0.8156560801900923,0.8904200705466792,0
59,-9.617628195942268,-2.738836958385123,0.2894736842105263,1925064.863371804,5599137.117163042,aw,8.703704034210526,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
60,3.511697493289929,9.363118108601494,0.3157894736842105,1925077.9926974932,5599149.219118108,aw,8.730019823684211,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.3855266217137703,0.9219118108041584,0.7992697493173182,0
61,-7.819680285496114,6.23318540014842,0.3157894736842105,1925066.6613197145,5599146.0891854,aw,8.730019823684211,"(0, np.int64(68), np.int64(77))",1.0,69.0,78.0,0.315830312897715,0.6089185399934649,0.6661319714505225,0
62,-8.344525690884009,-5.510797673130156,0.3157894736842105,1925066.136474309,5599134.345202327,aw,8.730019823684211,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
63,2.6624797885330964,-9.63904566726669,0.3157894736842105,1925077.1434797884,5599130.216954333,aw,8.730019823684211,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.8760113758273198,0.021695433277636768,0.7143479788443073,0
64,9.990028694557097,-0.446460168353069,0.3157894736842105,1925084.4710286944,5599139.409539831,aw,8.730019823684211,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.24760954416241762,0.9409539830870927,0.4471028694417328,0
65,-3.039647098812472,-9.526832921526488,0.3421052631578947,1925071.441352901,5599130.329167078,aw,8.756335613157894,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.8937240364234162,0.032916707824915646,0.14413529010489584,0
66,8.121253919237404,-5.834829455885675,0.3421052631578947,1925082.6022539192,5599134.0211705435,aw,8.756335613157894,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.26342794907647915,0.40211705435067413,0.26022539192344996,0
67,8.05885805216948,5.920709999230085,0.3421052631578947,1925082.539858052,5599145.776709999,aw,8.756335613157894,"(nan, nan, nan)",1.0,69.0,80.0,0.5,0.5,0.5,0
68,-3.140605732485881,9.494029472941234,0.3421052631578947,1925071.3403942673,5599149.350029472,aw,8.756335613157894,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.401760764110536,0.9350029472261667,0.134039426734671,0
69,-9.999859140108521,-0.053077094759143954,0.3421052631578947,1925064.48114086,5599139.8029229045,aw,8.756335613157894,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
70,-2.6828295379989573,9.63340156279392,0.3684210526315789,1925071.798170462,5599149.489401562,aw,8.78265140263158,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.41799490650730287,0.9489401562139392,0.1798170462017879,0
71,-9.990949250635838,0.42536228231847595,0.3684210526315789,1925064.4900507494,5599140.281362282,aw,8.78265140263158,"(0, np.int64(68), np.int64(77))",1.0,69.0,78.0,0.347878412264575,0.02813622821122408,0.4490050749387592,0
72,-3.491916678769286,-9.370513214788872,0.3684210526315789,1925070.989083321,5599130.485486785,aw,8.78265140263158,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.911436697019514,0.04854867849498987,0.09890833210665732,0
