x,y,i,j,node,start_datetime,end_datetime,flux_m3,screen_top,screen_botm
523955.0,1199285.0,258,346,101998,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
503955.0,1200285.0,259,326,102372,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
504955.0,1200285.0,259,327,102373,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
505955.0,1201285.0,260,328,102768,2007-04-01,2007-04-30,-462.28002999999995,9999.0,9999.0
506955.0,1201285.0,260,329,102769,2007-04-01,2007-04-30,-142.24002,9999.0,9999.0
500955.0,1202285.0,261,323,103157,2007-04-01,2007-04-30,-533.4,9999.0,9999.0
501955.0,1202285.0,261,324,103158,2007-04-01,2007-04-30,-533.4,9999.0,9999.0
504955.0,1202285.0,261,327,103161,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
505955.0,1202285.0,261,328,103162,2007-04-01,2007-04-30,-1920.2401,9999.0,9999.0
506955.0,1202285.0,261,329,103163,2007-04-01,2007-04-30,-675.64,9999.0,9999.0
505955.0,1203285.0,262,328,103556,2007-04-01,2007-04-30,-924.5600599999999,9999.0,9999.0
533955.0,1203285.0,262,356,103584,2007-04-01,2007-04-30,-177.8,9999.0,9999.0
501955.0,1204285.0,263,324,103946,2007-04-01,2007-04-30,-462.28002999999995,9999.0,9999.0
502955.0,1204285.0,263,325,103947,2007-04-01,2007-04-30,-462.28002999999995,9999.0,9999.0
503955.0,1204285.0,263,326,103948,2007-04-01,2007-04-30,-320.04,9999.0,9999.0
533955.0,1204285.0,263,356,103978,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
501955.0,1205285.0,264,324,104340,2007-04-01,2007-04-30,-1742.4401,9999.0,9999.0
502955.0,1205285.0,264,325,104341,2007-04-01,2007-04-30,-2915.9202,9999.0,9999.0
503955.0,1205285.0,264,326,104342,2007-04-01,2007-04-30,-533.4,9999.0,9999.0
504955.0,1205285.0,264,327,104343,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
506955.0,1205285.0,264,329,104345,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
507955.0,1205285.0,264,330,104346,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
