pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
33,9.963578505794427,0.8527035586130087,0.15789473684210525,1925202.0555785059,5599070.031703558,pk2,3.325484996842105,"(3, np.int64(75), np.int64(91))",4,76,92,0.005277262831948001,0.0031703557819128037,0.2055578505853191,0
34,2.2679458071924556,9.739426154329534,0.15789473684210525,1925194.3599458071,5599078.918426154,pk2,3.325484996842105,"(3, np.int64(75), np.int64(90))",4,76,91,0.39455426781638514,0.8918426154181361,0.4359945807140321,0
35,9.53335127792981,3.019141171193235,0.18421052631578946,1925201.6253512779,5599072.198141171,pk2,3.3518007863157893,"(3, np.int64(75), np.int64(91))",4,76,92,0.021145761512640304,0.21981411706656218,0.16253512778785079,0
36,0.07459367374812695,9.999721785321668,0.18421052631578946,1925192.1665936736,5599079.178721785,pk2,3.3518007863157893,"(3, np.int64(75), np.int64(90))",4,76,91,0.4135032590896871,0.9178721784614027,0.21665936736389996,0
37,-9.487249852207746,3.1610267701783363,0.18421052631578946,1925182.6047501478,5599072.34002677,pk2,3.3518007863157893,"(3, np.int64(75), np.int64(89))",4,76,90,0.40349715013470216,0.2340026769787073,0.26047501477878543,0
38,-5.938036542174931,-8.046099802003152,0.18421052631578946,1925186.1539634578,5599061.132900198,pk2,3.3518007863157893,"(3, np.int64(76), np.int64(89))",4,77,90,0.3431764685826333,0.11329001979902387,0.6153963457792997,0
39,5.817341442704739,-8.133789924690085,0.18421052631578946,1925197.9093414426,5599061.045210075,pk2,3.3518007863157893,"(3, np.int64(76), np.int64(90))",4,77,91,0.35280402067829764,0.104521007463336,0.7909341442631558,0
40,8.09280747599217,5.874220557361227,0.21052631578947367,1925200.184807476,5599075.053220557,pk2,3.3781165757894733,"(3, np.int64(75), np.int64(91))",4,76,92,0.03701426019333261,0.5053220557048916,0.018480747588910162,0
41,-3.0859006969471388,9.511951266095783,0.21052631578947367,1925189.006099303,5599078.690951265,pk2,3.3781165757894733,"(3, np.int64(75), np.int64(89))",4,76,90,0.4223675809410517,0.8690951265394687,0.9006099303020164,0
42,-9.999998992612491,0.004488624418560528,0.21052631578947367,1925182.0920010074,5599069.183488624,pk2,3.3781165757894733,"(3, np.int64(76), np.int64(89))",4,77,90,0.36157330735021675,0.9183488624170423,0.20920010074041784,0
43,-3.0944385679520883,-9.509177143642379,0.21052631578947367,1925188.997561432,5599059.669822856,pk2,3.3781165757894733,"(3, np.int64(77), np.int64(89))",4,78,90,0.0930500483469653,0.9669822855852545,0.8997561431955546,0
44,8.087530781519549,-5.881483304233193,0.21052631578947367,1925200.1795307815,5599063.297516695,pk2,3.3781165757894733,"(3, np.int64(76), np.int64(91))",4,77,92,0.3096863451552967,0.3297516695223749,0.017953078146092594,0
45,-9.987159375769005,-0.5066039903013696,0.23684210526315788,1925182.1048406241,5599068.672396009,pk2,3.404432365263158,"(3, np.int64(76), np.int64(89))",4,77,90,0.37997014611780056,0.8672396008856594,0.21048406241461634,0
46,-2.6043929464864704,-9.654902246024633,0.23684210526315788,1925189.4876070535,5599059.524097754,pk2,3.404432365263158,"(3, np.int64(77), np.int64(89))",4,78,90,0.10935507005605512,0.9524097753688693,0.9487607053481042,0
47,8.37755601477988,-5.460453755799555,0.23684210526315788,1925200.4695560148,5599063.718546243,pk2,3.404432365263158,"(3, np.int64(76), np.int64(91))",4,77,92,0.3276789804731427,0.37185462433844807,0.046955601475201544,0
48,7.782007306276553,6.280156230943491,0.23684210526315788,1925199.8740073063,5599075.45915623,pk2,3.404432365263158,"(3, np.int64(75), np.int64(90))",4,76,91,0.4514012416362913,0.5459156230092048,0.9874007306294516,0
49,-3.5680109988009563,9.341803761182065,0.23684210526315788,1925188.523989001,5599078.520803761,pk2,3.404432365263158,"(3, np.int64(75), np.int64(89))",4,76,90,0.44123801174740157,0.8520803760737181,0.8523989001056179,0
50,3.0753740923358186,9.515359908704959,0.2631578947368421,1925195.1673740924,5599078.694359908,pk2,3.430748154736842,"(3, np.int64(75), np.int64(90))",4,76,91,0.4703502329095932,0.8694359907880426,0.5167374092387036,0
51,-8.099302187475311,5.865262489945154,0.2631578947368421,1925183.9926978124,5599075.044262489,pk2,3.430748154736842,"(3, np.int64(75), np.int64(89))",4,76,90,0.46010844255375116,0.5044262489303947,0.39926978123839946,0
52,-8.081018129351934,-5.8904283369790145,0.2631578947368421,1925184.0109818706,5599063.288571662,pk2,3.430748154736842,"(3, np.int64(76), np.int64(89))",4,77,90,0.398366984885384,0.32885716622695327,0.40109818705823275,0
53,3.1049583198317166,-9.505747410493706,0.2631578947368421,1925195.1969583197,5599059.673252589,pk2,3.430748154736842,"(4, np.int64(77), np.int64(90))",5,78,91,0.9390207171945351,0.9673252589069307,0.5196958319749683,0
54,9.999987904659704,0.015553348822600259,0.2631578947368421,1925202.0919879046,5599069.194553348,pk2,3.430748154736842,"(3, np.int64(76), np.int64(91))",4,77,92,0.3456716157909884,0.9194553348235786,0.2091987904626876,0
55,-0.3672218217836559,-9.99325513201809,0.2894736842105263,1925191.7247781781,5599059.185744868,pk2,3.4570639442105264,"(4, np.int64(77), np.int64(90))",5,78,91,0.9538941088506236,0.9185744867660105,0.17247781781479715,0
56,9.390672628669313,-3.4373343714513727,0.2894736842105263,1925201.4826726287,5599065.741665628,pk2,3.4570639442105264,"(3, np.int64(76), np.int64(91))",4,77,92,0.3636642511088344,0.5741665627807379,0.14826726287137718,0
57,6.170976683524612,7.868865659762885,0.2894736842105263,1925198.2629766834,5599077.047865659,pk2,3.4570639442105264,"(3, np.int64(75), np.int64(90))",4,76,91,0.4892992241828955,0.7047865658998489,0.8262976683443413,0
58,-5.576799294467998,8.300560802091702,0.2894736842105263,1925186.5152007055,5599077.479560802,pk2,3.4570639442105264,"(3, np.int64(75), np.int64(89))",4,76,90,0.47897887336010103,0.7479560801759362,0.6515200705500319,0
59,-9.617628195942268,-2.738836958385123,0.2894736842105263,1925182.474371804,5599066.440163041,pk2,3.4570639442105264,"(3, np.int64(76), np.int64(89))",4,77,90,0.4167638236529678,0.6440163041464985,0.24743718039244414,0
60,3.511697493289929,9.363118108601494,0.3157894736842105,1925195.6036974932,5599078.542118108,pk2,3.4833797336842105,"(3, np.int64(75), np.int64(90))",4,76,91,0.5082482154561975,0.8542118107900023,0.560369749320671,0
61,-7.819680285496114,6.23318540014842,0.3157894736842105,1925184.2723197145,5599075.4121854,pk2,3.4833797336842105,"(3, np.int64(75), np.int64(89))",4,76,90,0.49784930416645057,0.5412185399793088,0.4272319714538753,0
62,-8.344525690884009,-5.510797673130156,0.3157894736842105,1925183.747474309,5599063.668202327,pk2,3.4833797336842105,"(3, np.int64(76), np.int64(89))",4,77,90,0.4351606624205513,0.3668202326633036,0.37474743090569973,0
63,2.6624797885330964,-9.63904566726669,0.3157894736842105,1925194.7544797885,5599059.539954333,pk2,3.4833797336842105,"(4, np.int64(77), np.int64(90))",5,78,91,0.968767500506712,0.9539954332634807,0.4754479788476601,0
64,9.990028694557097,-0.446460168353069,0.3157894736842105,1925202.0820286945,5599068.732539831,pk2,3.4833797336842105,"(3, np.int64(76), np.int64(91))",4,77,92,0.38165688642668005,0.8732539830729366,0.20820286944508554,0
