pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
13,-1.6582495177843979,9.861552034886182,0.05263157894736842,1925287.9927504824,5599063.083552035,pw,8.424441538947368,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
14,-9.891320605471677,1.4702981601605276,0.05263157894736842,1925279.7596793945,5599054.69229816,pw,8.424441538947368,"(1, np.int64(77), np.int64(98))",2.0,78.0,99.0,0.6181861342442644,0.46922981599345803,0.9759679394541309,0
15,-1.3867358137920252,-9.903381431750802,0.07894736842105263,1925288.2642641864,5599043.318618569,pw,8.450757328421053,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.28679546308043746,0.33186185685917735,0.8264264186378568,0
16,8.99015051085292,-4.379177296275065,0.07894736842105263,1925298.6411505109,5599048.8428227035,pw,8.450757328421053,"(0, np.int64(78), np.int64(100))",1.0,79.0,101.0,0.999999,0.8842822703532874,0.864115051086992,0
17,6.94295439347636,7.1969010198909436,0.07894736842105263,1925296.5939543936,5599060.41890102,pw,8.450757328421053,"(0, np.int64(76), np.int64(100))",1.0,77.0,101.0,0.999999,0.041890101972967386,0.659395439364016,0
18,-4.699168713344109,8.827106740236456,0.07894736842105263,1925284.9518312868,5599062.04910674,pw,8.450757328421053,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
19,-9.847200377193138,-1.7414490321015175,0.07894736842105263,1925279.803799623,5599051.480550968,pw,8.450757328421053,"(1, np.int64(77), np.int64(98))",2.0,78.0,99.0,0.6326121604255214,0.14805509680882095,0.9803799622924998,0
20,9.538473583969726,-3.002918861360018,0.10526315789473684,1925299.189473584,5599050.219081138,pw,8.477073117894736,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.021908113826066257,0.9189473584061488,0
21,5.803495988845226,8.143674496654281,0.10526315789473684,1925295.454495989,5599061.365674497,pw,8.477073117894736,"(0, np.int64(76), np.int64(100))",1.0,77.0,101.0,0.999999,0.1365674496628344,0.5454495989019051,0
22,-5.951715809289702,8.035986493608052,0.10526315789473684,1925283.6992841908,5599061.257986493,pw,8.477073117894736,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
23,-9.481858650366341,-3.1771617104694205,0.10526315789473684,1925280.1691413496,5599050.04483829,pw,8.477073117894736,"(0, np.int64(77), np.int64(99))",1.0,78.0,100.0,0.7330396989284939,0.004483828973025084,0.016914134961552918,0
24,0.09160488684109562,-9.999580418432908,0.10526315789473684,1925289.7426048869,5599043.222419581,pw,8.477073117894736,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.3032586262602442,0.3222419581376016,0.9742604886880144,0
25,9.968163506005439,0.7973182034428622,0.13157894736842105,1925299.619163506,5599054.019318203,pw,8.503388907368421,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.40193182034417985,0.9619163505965844,0
26,2.3220372531187596,9.726671732670363,0.13157894736842105,1925291.9730372531,5599062.948671733,pw,8.503388907368421,"(0, np.int64(76), np.int64(100))",1.0,77.0,101.0,0.999999,0.2948671733029187,0.19730372531339527,0
27,-8.533065560434602,5.214095524760253,0.13157894736842105,1925281.1179344396,5599058.436095525,pw,8.503388907368421,"(0, np.int64(77), np.int64(99))",1.0,78.0,100.0,0.7508370523332614,0.8436095524579287,0.11179344395641237,0
28,-7.595761797698515,-6.504183477779807,0.13157894736842105,1925282.0552382024,5599046.717816522,pw,8.503388907368421,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.319721789440052,0.6717816522344947,0.20552382024470717,0
29,3.838626599008917,-9.233901983093672,0.13157894736842105,1925293.489626599,5599043.988098017,pw,8.503388907368421,"(0, np.int64(78), np.int64(100))",1.0,79.0,101.0,0.999999,0.3988098016940057,0.348962659901008,0
30,-8.561910912306672,5.166592835682325,0.15789473684210525,1925281.0890890877,5599058.3885928355,pw,8.529704696842105,"(0, np.int64(77), np.int64(99))",1.0,78.0,100.0,0.7686344057380278,0.8388592835515738,0.10890890876762568,0
31,-7.559497759646603,-6.546296175846155,0.15789473684210525,1925282.0915022404,5599046.6757038245,pw,8.529704696842105,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.33618495261985865,0.667570382449776,0.2091502240393311,0
32,3.889884358966392,-9.212426372778706,0.15789473684210525,1925293.540884359,5599044.009573627,pw,8.529704696842105,"(0, np.int64(78), np.int64(100))",1.0,79.0,101.0,0.999999,0.40095736272633076,0.35408843590412287,0
33,9.963578505794427,0.8527035586130087,0.15789473684210525,1925299.614578506,5599054.074703558,pw,8.529704696842105,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.40747035583481195,0.9614578505977989,0
34,2.2679458071924556,9.739426154329534,0.15789473684210525,1925291.9189458073,5599062.961426155,pw,8.529704696842105,"(0, np.int64(76), np.int64(100))",1.0,77.0,101.0,0.999999,0.29614261547103526,0.19189458072651178,0
35,9.53335127792981,3.019141171193235,0.18421052631578946,1925299.184351278,5599056.241141171,pw,8.55602048631579,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.6241141171194613,0.9184351278003305,0
36,0.07459367374812695,9.999721785321668,0.18421052631578946,1925289.7255936738,5599063.221721785,pw,8.55602048631579,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
37,-9.487249852207746,3.1610267701783363,0.18421052631578946,1925280.163750148,5599056.38302677,pw,8.55602048631579,"(0, np.int64(77), np.int64(99))",1.0,78.0,100.0,0.7864317591427953,0.6383026770316065,0.01637501479126513,0
38,-5.938036542174931,-8.046099802003152,0.18421052631578946,1925283.712963458,5599045.1759001985,pw,8.55602048631579,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.3526481157996665,0.517590019851923,0.37129634579177945,0
