pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
29,3.838626599008917,-9.233901983093672,0.13157894736842105,1925171.125626599,5599051.786098016,spring,8.160078547368421,"(0, np.int64(77), np.int64(88))",1.0,78.0,89.0,0.4916309072746646,0.1786098016425967,0.11256265989504755,0
30,-8.561910912306672,5.166592835682325,0.15789473684210525,1925158.7250890876,5599066.186592835,spring,8.186394336842104,"(1, np.int64(76), np.int64(86))",2.0,77.0,87.0,0.9342080943683894,0.6186592835001647,0.8725089087616652,0
31,-7.559497759646603,-6.546296175846155,0.15789473684210525,1925159.7275022403,5599054.473703824,spring,8.186394336842104,"(1, np.int64(77), np.int64(86))",2.0,78.0,87.0,0.9458494102250561,0.4473703823983669,0.9727502240333706,0
32,3.889884358966392,-9.212426372778706,0.15789473684210525,1925171.176884359,5599051.807573627,spring,8.186394336842104,"(0, np.int64(77), np.int64(88))",1.0,78.0,89.0,0.5093411048778513,0.18075736267492176,0.11768843589816243,0
33,9.963578505794427,0.8527035586130087,0.15789473684210525,1925177.250578506,5599061.872703558,spring,8.186394336842104,"(0, np.int64(76), np.int64(88))",1.0,77.0,89.0,0.6105012523762043,0.18727035578340293,0.7250578505918384,0
34,2.2679458071924556,9.739426154329534,0.15789473684210525,1925169.5549458072,5599070.759426154,spring,8.186394336842104,"(0, np.int64(75), np.int64(87))",1.0,76.0,88.0,0.208038530580986,0.07594261541962624,0.9554945807205513,0
35,9.53335127792981,3.019141171193235,0.18421052631578946,1925176.820351278,5599064.039141171,spring,8.21271012631579,"(0, np.int64(76), np.int64(88))",1.0,77.0,89.0,0.6285366369747666,0.4039141170680523,0.68203512779437,0
36,0.07459367374812695,9.999721785321668,0.18421052631578946,1925167.3615936737,5599071.019721785,spring,8.21271012631579,"(0, np.int64(75), np.int64(87))",1.0,76.0,88.0,0.22478016791240096,0.10197217846289278,0.7361593673704192,0
37,-9.487249852207746,3.1610267701783363,0.18421052631578946,1925157.7997501479,5599064.18102677,spring,8.21271012631579,"(1, np.int64(76), np.int64(86))",2.0,77.0,87.0,0.9500694829221247,0.41810267698019743,0.7799750147853046,0
38,-5.938036542174931,-8.046099802003152,0.18421052631578946,1925161.3489634579,5599052.973900198,spring,8.21271012631579,"(0, np.int64(77), np.int64(87))",1.0,78.0,88.0,0.9508082985815308,0.297390019800514,0.134896345785819,0
39,5.817341442704739,-8.133789924690085,0.18421052631578946,1925173.1043414427,5599052.886210075,spring,8.21271012631579,"(0, np.int64(77), np.int64(88))",1.0,78.0,89.0,0.5270513024810393,0.2886210074648261,0.310434144269675,0
40,8.09280747599217,5.874220557361227,0.21052631578947367,1925175.379807476,5599066.894220557,spring,8.239025915789474,"(0, np.int64(76), np.int64(88))",1.0,77.0,89.0,0.6465720215733288,0.6894220557063818,0.5379807475954295,0
41,-3.0859006969471388,9.511951266095783,0.21052631578947367,1925164.201099303,5599070.531951265,spring,8.239025915789474,"(0, np.int64(75), np.int64(87))",1.0,76.0,88.0,0.24152180524381592,0.053195126540958884,0.4201099303085357,0
42,-9.999998992612491,0.004488624418560528,0.21052631578947367,1925157.2870010075,5599061.024488624,spring,8.239025915789474,"(1, np.int64(76), np.int64(86))",2.0,77.0,87.0,0.96593087147586,0.10244886241853238,0.7287001007469371,0
43,-3.0944385679520883,-9.509177143642379,0.21052631578947367,1925164.192561432,5599051.510822856,spring,8.239025915789474,"(0, np.int64(77), np.int64(87))",1.0,78.0,88.0,0.9698763304693993,0.15108228558674455,0.4192561432020739,0
44,8.087530781519549,-5.881483304233193,0.21052631578947367,1925175.3745307815,5599055.138516695,spring,8.239025915789474,"(0, np.int64(77), np.int64(88))",1.0,78.0,89.0,0.5447615000842272,0.513851669523865,0.5374530781526119,0
45,-9.987159375769005,-0.5066039903013696,0.23684210526315788,1925157.2998406242,5599060.513396009,spring,8.265341705263157,"(1, np.int64(76), np.int64(86))",2.0,77.0,87.0,0.9817922600295942,0.051339600887149575,0.7299840624211356,0
46,-2.6043929464864704,-9.654902246024633,0.23684210526315788,1925164.6826070535,5599051.365097754,spring,8.265341705263157,"(0, np.int64(77), np.int64(87))",1.0,78.0,88.0,0.9889443623572663,0.1365097753703594,0.4682607053546235,0
47,8.37755601477988,-5.460453755799555,0.23684210526315788,1925175.6645560148,5599055.559546243,spring,8.265341705263157,"(0, np.int64(77), np.int64(88))",1.0,78.0,89.0,0.5624716976874139,0.5559546243399381,0.5664556014817208,0
48,7.782007306276553,6.280156230943491,0.23684210526315788,1925175.0690073064,5599067.30015623,spring,8.265341705263157,"(0, np.int64(76), np.int64(88))",1.0,77.0,89.0,0.66460740617189,0.730015623010695,0.5069007306359709,0
